source,date,author,url,pick,team,player,position,school,conference,draft-id
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,27,arizona-cardinals,Jackson Powers-Johnson,IOL,Oregon,Pac-12,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,28,buffalo-bills,Cooper DeJean,CB,Iowa,Big Ten,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,29,detroit-lions,Ennis Rakestraw Jr.,CB,Missouri,SEC,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,30,baltimore-ravens,Troy Franklin,WR,Oregon,Pac-12,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,31,san-francisco-49ers,Graham Barton,IOL,Duke,ACC,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,32,kansas-city-chiefs,Troy Fautanu,OT,Washington,Pac-12,Buccaneers.com-1-Scott Smith
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,1,chicago-bears,Caleb Williams,QB,USC,Pac-12,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,2,washington-commanders,Drake Maye,QB,North Carolina,ACC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,3,atlanta-falcons,Jayden Daniels,QB,LSU,SEC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,4,arizona-cardinals,Marvin Harrison Jr.,WR,Ohio St.,Big Ten,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,5,los-angeles-chargers,Malik Nabers,WR,LSU,SEC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,6,new-york-giants,Rome Odunze,WR,Washington,Pac-12,CBS-1-Garrett Podell
